item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP0818,M,currentlyEnabled,extension_gate,partial,6,3,3,50.0,0,0,,,"run with this extension enabled, and again with it disabled",Ext_M,extensions/M/mext_insts.sail:13,opcode_sweep.py extensions/M/mext_insts.sail
TP0857,Stateen,currentlyEnabled,extension_gate,partial,6,3,3,50.0,0,0,,,"run with this extension enabled, and again with it disabled",Ext_Smstateen,extensions/Stateen/stateen_regs.sail:9,opcode_sweep.py extensions/Stateen/stateen_regs.sail
TP2250,sys,trap_handler,privilege,partial,6,3,3,50.0,0,2,yes,match (del_priv) AND mstatus[SPP]  = match cur_privilege,execute the same code at this privilege level,(default: the sweep already runs in M-mode),sys/sys_control.sail:202,opcode_sweep.py sys/sys_control.sail
TP0860,Stateen,stateen_bit_index,unclassified,partial,4,2,2,50.0,0,0,,,read the guard and decide what arranges it,,extensions/Stateen/stateen_regs.sail:22,opcode_sweep.py extensions/Stateen/stateen_regs.sail
TP1638,V,VSETVLI,instruction,partial,4,2,2,50.0,0,0,,,generate any legal form of this instruction,VSETVLI body,extensions/V/vext_vset_insts.sail:154,opcode_sweep.py extensions/V/vext_vset_insts.sail
TP1640,V,VSETVL,instruction,partial,4,2,2,50.0,0,0,,,generate any legal form of this instruction,VSETVL body,extensions/V/vext_vset_insts.sail:179,opcode_sweep.py extensions/V/vext_vset_insts.sail
TP1772,bfloat16,execute,fault_path,partial,4,2,2,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/bfloat16/zvfbfmin_insts.sail:31,opcode_sweep.py extensions/bfloat16/zvfbfmin_insts.sail
TP1975,pmp,pmpAddrMatchType_encdec,pmp,partial,4,2,2,50.0,0,0,,,program a PMP entry of this match type and access across its boundary,,pmp/pmp_regs.sail:28,opcode_sweep.py pmp/pmp_regs.sail
TP2147,sys,pmaCheck,fault_path,partial,4,2,2,50.0,0,2,yes,"match matching_pma_region(pma_regions, paddr, width) AND match misaligned_exception",construct the faulting condition and assert the resulting trap,,sys/mem.sail:86,opcode_sweep.py sys/mem.sail
TP0038,core,legalize_mip,helper_function,partial,2,1,1,50.0,0,0,,,"execute an instruction that calls this helper: CSRImm, CSRReg",legalize_mip() reached via 2 instruction(s),core/interrupt_regs.sail:29,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP0639,I,jump_to,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/I/base_insts.sail:63,opcode_sweep.py extensions/I/base_insts.sail
TP0906,V,VVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:85,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0934,V,NVSTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:234,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0940,V,NVTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:309,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0945,V,MASKTYPEV,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:380,opcode_sweep.py extensions/V/vext_arith_insts.sail
