address,name,privilege_from_address,feature_group,read_write_behaviour,source
0x61F,hstateen3h,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:56
0x721,mcyclecfgh,Machine,Smcntrpmf,Not directly derivable from Sail,extensions/Smcntrpmf/smcntrpmf.sail:27
0x722,minstretcfgh,Machine,Smcntrpmf,Not directly derivable from Sail,extensions/Smcntrpmf/smcntrpmf.sail:29
0x723,mhpmevent3h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:12
0x724,mhpmevent4h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:13
0x725,mhpmevent5h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:14
0x726,mhpmevent6h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:15
0x727,mhpmevent7h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:16
0x728,mhpmevent8h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:17
0x729,mhpmevent9h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:18
0x72A,mhpmevent10h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:19
0x72B,mhpmevent11h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:20
0x72C,mhpmevent12h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:21
0x72D,mhpmevent13h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:22
0x72E,mhpmevent14h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:23
0x72F,mhpmevent15h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:24
0x730,mhpmevent16h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:25
0x731,mhpmevent17h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:26
0x732,mhpmevent18h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:27
0x733,mhpmevent19h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:28
0x734,mhpmevent20h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:29
0x735,mhpmevent21h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:30
0x736,mhpmevent22h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:31
0x737,mhpmevent23h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:32
0x738,mhpmevent24h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:33
0x739,mhpmevent25h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:34
0x73A,mhpmevent26h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:35
0x73B,mhpmevent27h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:36
0x73C,mhpmevent28h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:37
0x73D,mhpmevent29h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:38
0x73E,mhpmevent30h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:39
0x73F,mhpmevent31h,Machine,Sscofpmf,Not directly derivable from Sail,extensions/Sscofpmf/sscofpmf.sail:40
0x747,mseccfg,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:334
0x757,mseccfgh,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:335
0x7a0,tselect,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:838
0x7a1,tdata1,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:839
0x7a2,tdata2,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:840
0x7a3,tdata3,Machine,core,Not directly derivable from Sail,core/sys_regs.sail:841
0xB00,mcycle,Machine,Zicntr,Not directly derivable from Sail,extensions/Zicntr/zicntr_control.sail:34
0xB02,minstret,Machine,Zicntr,Not directly derivable from Sail,extensions/Zicntr/zicntr_control.sail:35
0xB03,mhpmcounter3,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:105
0xB04,mhpmcounter4,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:106
