name,extension_group,signature,operand_types,enum_operands,forms,encdec_clauses,compressed,config_prerequisites,source
F_BIN_RM_TYPE_D,FD,"(fregidx, fregidx, rounding_mode, fregidx, f_bin_rm_op_D)",fregidx;fregidx;rounding_mode;fregidx;f_bin_rm_op_D,rounding_mode(6);f_bin_rm_op_D(4),24,4,False,"haveDoubleFPU() & validDoubleRegs([rs2, rs1, rd])",extensions/FD/dext_insts.sail:313
F_UN_RM_FF_TYPE_D,FD,"(fregidx, rounding_mode, fregidx, f_un_rm_ff_op_D)",fregidx;rounding_mode;fregidx;f_un_rm_ff_op_D,rounding_mode(6);f_un_rm_ff_op_D(3),18,3,False,"haveDoubleFPU() & validDoubleRegs([rd]);haveDoubleFPU() & validDoubleRegs([rs1, rd]);haveDoubleFPU() & validDoubleRegs([rs1])",extensions/FD/dext_insts.sail:377
F_UN_RM_XF_TYPE_D,FD,"(regidx, rounding_mode, fregidx, f_un_rm_xf_op_D)",regidx;rounding_mode;fregidx;f_un_rm_xf_op_D,rounding_mode(6),6,4,False,haveDoubleFPU() & validDoubleRegs([rd]);haveDoubleFPU() & xlen >= 64,extensions/FD/dext_insts.sail:378
F_UN_RM_FX_TYPE_D,FD,"(fregidx, rounding_mode, regidx, f_un_rm_fx_op_D)",fregidx;rounding_mode;regidx;f_un_rm_fx_op_D,rounding_mode(6),6,4,False,haveDoubleFPU() & validDoubleRegs([rs1]);haveDoubleFPU() & xlen >= 64,extensions/FD/dext_insts.sail:379
F_BIN_F_TYPE_D,FD,"(fregidx, fregidx, fregidx, f_bin_f_op_D)",fregidx;fregidx;fregidx;f_bin_f_op_D,f_bin_f_op_D(5),5,5,False,"haveDoubleFPU() & validDoubleRegs([rs2, rs1, rd])",extensions/FD/dext_insts.sail:645
F_BIN_X_TYPE_D,FD,"(fregidx, fregidx, regidx, f_bin_x_op_D)",fregidx;fregidx;regidx;f_bin_x_op_D,f_bin_x_op_D(3),3,3,False,"haveDoubleFPU() & validDoubleRegs([rs2, rs1])",extensions/FD/dext_insts.sail:646
F_UN_X_TYPE_D,FD,"(fregidx, regidx, f_un_x_op_D)",fregidx;regidx;f_un_x_op_D,,1,2,False,currentlyEnabled(Ext_D) & xlen >= 64;haveDoubleFPU() & validDoubleRegs([rs1]),extensions/FD/dext_insts.sail:825
F_UN_F_TYPE_D,FD,"(regidx, fregidx, f_un_f_op_D)",regidx;fregidx;f_un_f_op_D,f_un_f_op_D(1),1,1,False,currentlyEnabled(Ext_D) & xlen >= 64,extensions/FD/dext_insts.sail:826
LOAD_FP,FD,"(bits(12), regidx, fregidx, word_width)",bits(12);regidx;fregidx;word_width,,1,1,False,float_load_store_width_supported(width),extensions/FD/fext_insts.sail:269
STORE_FP,FD,"(bits(12), fregidx, regidx, word_width)",bits(12);fregidx;regidx;word_width,,1,1,False,float_load_store_width_supported(width),extensions/FD/fext_insts.sail:305
F_MADD_TYPE_S,FD,"(fregidx, fregidx, fregidx, rounding_mode, fregidx, f_madd_op_S)",fregidx;fregidx;fregidx;rounding_mode;fregidx;f_madd_op_S,rounding_mode(6);f_madd_op_S(4),24,4,False,haveSingleFPU(),extensions/FD/fext_insts.sail:342
F_BIN_RM_TYPE_S,FD,"(fregidx, fregidx, rounding_mode, fregidx, f_bin_rm_op_S)",fregidx;fregidx;rounding_mode;fregidx;f_bin_rm_op_S,rounding_mode(6);f_bin_rm_op_S(4),24,4,False,haveSingleFPU(),extensions/FD/fext_insts.sail:409
F_UN_RM_FF_TYPE_S,FD,"(fregidx, rounding_mode, fregidx, f_un_rm_ff_op_S)",fregidx;rounding_mode;fregidx;f_un_rm_ff_op_S,rounding_mode(6);f_un_rm_ff_op_S(1),6,1,False,haveSingleFPU(),extensions/FD/fext_insts.sail:473
F_UN_RM_FX_TYPE_S,FD,"(fregidx, rounding_mode, regidx, f_un_rm_fx_op_S)",fregidx;rounding_mode;regidx;f_un_rm_fx_op_S,rounding_mode(6),6,4,False,haveSingleFPU();haveSingleFPU() & xlen >= 64,extensions/FD/fext_insts.sail:474
F_UN_RM_XF_TYPE_S,FD,"(regidx, rounding_mode, fregidx, f_un_rm_xf_op_S)",regidx;rounding_mode;fregidx;f_un_rm_xf_op_S,rounding_mode(6),6,4,False,haveSingleFPU();haveSingleFPU() & xlen >= 64,extensions/FD/fext_insts.sail:475
F_BIN_TYPE_F_S,FD,"(fregidx, fregidx, fregidx, f_bin_op_f_S)",fregidx;fregidx;fregidx;f_bin_op_f_S,f_bin_op_f_S(5),5,5,False,haveSingleFPU(),extensions/FD/fext_insts.sail:698
F_BIN_TYPE_X_S,FD,"(fregidx, fregidx, regidx, f_bin_op_x_S)",fregidx;fregidx;regidx;f_bin_op_x_S,f_bin_op_x_S(3),3,3,False,haveSingleFPU(),extensions/FD/fext_insts.sail:699
F_UN_TYPE_F_S,FD,"(regidx, fregidx, f_un_op_f_S)",regidx;fregidx;f_un_op_f_S,f_un_op_f_S(1),1,1,False,currentlyEnabled(Ext_F),extensions/FD/fext_insts.sail:877
F_UN_TYPE_X_S,FD,"(fregidx, regidx, f_un_op_x_S)",fregidx;regidx;f_un_op_x_S,f_un_op_x_S(2),2,2,False,currentlyEnabled(Ext_F);haveSingleFPU(),extensions/FD/fext_insts.sail:878
C_FLDSP,FD,"(bits(6), fregidx)",bits(6);fregidx,,1,1,True,currentlyEnabled(Ext_Zcd),extensions/FD/zcd_insts.sail:11
C_FSDSP,FD,"(bits(6), fregidx)",bits(6);fregidx,,1,1,True,currentlyEnabled(Ext_Zcd),extensions/FD/zcd_insts.sail:26
C_FLD,FD,"(bits(5), cregidx, cfregidx)",bits(5);cregidx;cfregidx,,1,1,True,currentlyEnabled(Ext_Zcd),extensions/FD/zcd_insts.sail:41
C_FSD,FD,"(bits(5), cregidx, cfregidx)",bits(5);cregidx;cfregidx,,1,1,True,currentlyEnabled(Ext_Zcd),extensions/FD/zcd_insts.sail:58
C_FLWSP,FD,"(bits(6), fregidx)",bits(6);fregidx,,1,1,True,currentlyEnabled(Ext_Zcf),extensions/FD/zcf_insts.sail:11
C_FSWSP,FD,"(bits(6), fregidx)",bits(6);fregidx,,1,1,True,currentlyEnabled(Ext_Zcf),extensions/FD/zcf_insts.sail:27
C_FLW,FD,"(bits(5), cregidx, cfregidx)",bits(5);cregidx;cfregidx,,1,1,True,currentlyEnabled(Ext_Zcf),extensions/FD/zcf_insts.sail:43
C_FSW,FD,"(bits(5), cregidx, cfregidx)",bits(5);cregidx;cfregidx,,1,1,True,currentlyEnabled(Ext_Zcf),extensions/FD/zcf_insts.sail:61
